patterns,tag,responses
sick,cat,Cats are so mysterious! Do you have a cat?
cast,cat,Cats are so mysterious! Do you have a cat?
kitty,cat,Meow! Do you prefer cats over dogs?
kitty,cat,Meow! Do you prefer cats over dogs?
pool,cat,I love how cats purr when they're happy.
pool,cat,I love how cats purr when they're happy.
shuttle,bird,Birds can fly so gracefully. Do you have a favorite bird?
shuttlecock,bird,Birds can fly so gracefully. Do you have a favorite bird?
parrot,bird,I love the colors of parrots. Do you like birds?
parrot,bird,I love the colors of parrots. Do you like birds?
true sparrow,bird,Birdwatching can be so relaxing!
hedge sparrow,bird,Birdwatching can be so relaxing!
Pisces,fish,Fish are so peaceful to watch. Do you have a fish tank?
Fish,fish,Fish are so peaceful to watch. Do you have a fish tank?
Carassius auratus,fish,Goldfish are pretty cute! Ever kept one?
Carassius auratus,fish,Goldfish are pretty cute! Ever kept one?
fish tank,fish,I heard tropical fish are very colorful!
fish tank,fish,I heard tropical fish are very colorful!
Equus caballus,horse,Horses are majestic creatures! Have you ever ridden one?
cavalry,horse,Horses are majestic creatures! Have you ever ridden one?
crib,horse,Neigh! Do you love horses?
jigger,horse,Neigh! Do you love horses?
entire,horse,I think horses have a noble spirit.
entire,horse,I think horses have a noble spirit.
elephant,elephant,Elephants are so wise and majestic! Did you know they have great memories?
elephant,elephant,Elephants are so wise and majestic! Did you know they have great memories?
tusk,elephant,Elephants are the gentle giants of the animal kingdom.
detusk,elephant,Elephants are the gentle giants of the animal kingdom.
Lion,lion,Lions are the kings of the jungle! Do you like big cats?
social lion,lion,Lions are the kings of the jungle! Do you like big cats?
power of the hobo camp,lion,Roar! Lions are fierce and powerful animals.
magnate of the hobo camp,lion,Roar! Lions are fierce and powerful animals.
Panthera tigris,tiger,Tigers are so powerful! They have such beautiful fur.
Panthera tigris,tiger,Tigers are so powerful! They have such beautiful fur.
Panthera tigris band,tiger,"The tiger's roar can be heard from miles away. Quite impressive, right?"
Panthera tigris clean,tiger,"The tiger's roar can be heard from miles away. Quite impressive, right?"
hare,rabbit,Rabbits are so cute! Do you like bunnies?
cony,rabbit,Rabbits are so cute! Do you like bunnies?
bunny rabbit,rabbit,Bunnies can hop so fast! What's your favorite pet?
bunny rabbit,rabbit,Bunnies can hop so fast! What's your favorite pet?
rabbit,rabbit,I hear rabbits are great at hiding in burrows.
rabbit,rabbit,I hear rabbits are great at hiding in burrows.
overawe,cow,Cows are so calm and gentle! Do you like farms?
overawe,cow,Cows are so calm and gentle! Do you like farms?
low,cow,Moo! Cows provide us with milk. Ever been on a farm?
low,cow,Moo! Cows provide us with milk. Ever been on a farm?
sheep,sheep,"Sheep are so soft, especially their wool! Do you like knitting?"
sheep,sheep,"Sheep are so soft, especially their wool! Do you like knitting?"
fleece,sheep,Baa! Sheep are very friendly animals.
fleece,sheep,Baa! Sheep are very friendly animals.
stooge,goat,Goats are so playful! Have you ever seen a baby goat?
stooge,goat,Goats are so playful! Have you ever seen a baby goat?
jolly,goat,I love how goats climb on anything! They're so curious.
Thomas Kid,goat,I love how goats climb on anything! They're so curious.
zebra,zebra,Zebras' stripes are so unique! Have you ever seen one in the wild?
zebra,zebra,Zebras' stripes are so unique! Have you ever seen one in the wild?
uncase sawbuck,zebra,Zebras are like horses with a beautiful twist.
undress sawbuck,zebra,Zebras are like horses with a beautiful twist.
ophidian,snake,Snakes can be fascinating! Do you like reptiles?
serpent,snake,Snakes can be fascinating! Do you like reptiles?
snake,snake,I think snakes are both beautiful and scary.
snake,snake,I think snakes are both beautiful and scary.
toad frog,frog,"Frogs are so cute, especially when they hop around!"
Gaul,frog,"Frogs are so cute, especially when they hop around!"
ribbit,frog,Ribbit! Frogs are amphibians with some cool skills.
ribbit,frog,Ribbit! Frogs are amphibians with some cool skills.
koala bear,koala,"Koalas are so sleepy all the time! They're so cute, right?"
kangaroo bear,koala,"Koalas are so sleepy all the time! They're so cute, right?"
Aussie pouched mammal,koala,Did you know that koalas eat eucalyptus leaves all day?
Aboriginal Australian pouched mammal,koala,Did you know that koalas eat eucalyptus leaves all day?
Ailurus fulgens,panda,Panda adalah hewan lucu dari China yang suka makan bambu.
bear cat,panda,Panda adalah hewan lucu dari China yang suka makan bambu.
bamboo,panda,Panda adalah hewan lucu dari China yang suka makan bambu.
bamboo,panda,Panda adalah hewan lucu dari China yang suka makan bambu.
penguin,penguin,Penguins are so cute when they waddle! Have you seen one in the wild?
penguin,penguin,Penguins are so cute when they waddle! Have you seen one in the wild?
flightless boo,penguin,"Penguins can't fly, but they sure can swim."
flightless doll,penguin,"Penguins can't fly, but they sure can swim."
drub,bat,"Bats are the only mammals that can fly! Fascinating, right?"
squash racket,bat,"Bats are the only mammals that can fly! Fascinating, right?"
dark,bat,"Vampires aren't real, but bats sure are awesome creatures."
dark,bat,"Vampires aren't real, but bats sure are awesome creatures."
corner,tree,Trees give us oxygen and shade. Do you have a favorite tree?
Tree,tree,Trees give us oxygen and shade. Do you have a favorite tree?
corner,tree,Trees are essential for life on Earth! Let's protect them.
tree diagram,tree,Trees are essential for life on Earth! Let's protect them.
efflorescence,flower,Flowers are beautiful! Do you have a favorite flower?
efflorescence,flower,Flowers are beautiful! Do you have a favorite flower?
efflorescence,flower,I love how flowers bloom in spring. Which one do you like?
blossom out,flower,I love how flowers bloom in spring. Which one do you like?
green goddess,grass,Walking on grass feels so nice! Don’t you think?
stag,grass,Walking on grass feels so nice! Don’t you think?
fleeceable denounce,grass,Grass helps keep the earth cool and fresh.
fleeceable rat,grass,Grass helps keep the earth cool and fresh.
cactus,cactus,"Cacti are tough plants that survive in deserts. Impressive, right?"
cactus,cactus,"Cacti are tough plants that survive in deserts. Impressive, right?"
lush,cactus,Succulents and cacti are so trendy nowadays!
lush,cactus,Succulents and cacti are so trendy nowadays!
moss,moss,"Moss grows in shady, damp places. It's soft and peaceful!"
moss,moss,"Moss grows in shady, damp places. It's soft and peaceful!"
soft gullible flora,moss,Moss can make a forest floor look like a green carpet.
soft cat valium found,moss,Moss can make a forest floor look like a green carpet.
fern,fern,Ferns are ancient plants! They’ve been around since the dinosaurs!
fern,fern,Ferns are ancient plants! They’ve been around since the dinosaurs!
leafy embed,fern,I love the symmetrical shape of fern leaves.
leafy flora,fern,I love the symmetrical shape of fern leaves.
bamboo,bamboo,Bamboo grows incredibly fast! It’s also strong and flexible.
bamboo,bamboo,Bamboo grows incredibly fast! It’s also strong and flexible.
grandiloquent betray,bamboo,"Pandas love bamboo, and so do many cultures for building!"
improbable snitch,bamboo,"Pandas love bamboo, and so do many cultures for building!"
yield,fruit,Fruits are not only delicious but healthy too! What’s your favorite fruit?
yield,fruit,Fruits are not only delicious but healthy too! What’s your favorite fruit?
orchard apple tree,fruit,Nature’s candy—fruits are amazing!
orchard apple tree,fruit,Nature’s candy—fruits are amazing!
veg,vegetable,Vegetables are great for your health! Eat the rainbow!
veggie,vegetable,Vegetables are great for your health! Eat the rainbow!
cultivated carrot,vegetable,Green veggies are packed with nutrients!
cultivated carrot,vegetable,Green veggies are packed with nutrients!
herbaceous plant,herb,Herbs add so much flavor to cooking! Do you grow any?
herbaceous plant,herb,Herbs add so much flavor to cooking! Do you grow any?
St. Basil,herb,Fresh herbs smell amazing! Which one do you use most?
sweet basil,herb,Fresh herbs smell amazing! Which one do you use most?
vine,vine,Vines can climb anything! They're great for decorating walls.
vine,vine,Vines can climb anything! They're great for decorating walls.
rise institute,vine,"Ivy-covered walls look magical, don’t they?"
wax institute,vine,"Ivy-covered walls look magical, don’t they?"
riff,leaf,Leaves come in so many shapes and colors. I love watching them fall.
riffle,leaf,Leaves come in so many shapes and colors. I love watching them fall.
go out,leaf,Leaves are like solar panels for plants!
result,leaf,Leaves are like solar panels for plants!
found,plant,Plants make any space feel alive! Do you have any houseplants?
set,plant,Plants make any space feel alive! Do you have any houseplants?
set,plant,Taking care of plants can be very calming.
imbed,plant,Taking care of plants can be very calming.
come,seed,Every big tree starts as a tiny seed. Isn't that inspiring?
sow,seed,Every big tree starts as a tiny seed. Isn't that inspiring?
ejaculate,seed,Seeds hold the potential of life. Ready to plant something?
sow,seed,Seeds hold the potential of life. Ready to plant something?
blossoming institute,flowering plant,Flowering plants bring so much beauty to a garden!
inflorescence establish,flowering plant,Flowering plants bring so much beauty to a garden!
bloom of youth,flowering plant,A garden full of blooms is a joy to see!
blush,flowering plant,A garden full of blooms is a joy to see!
fall exit,tree leaves,Watching leaves change color in autumn is magical.
fall pull up stakes,tree leaves,Watching leaves change color in autumn is magical.
declination foliation,tree leaves,Autumn leaves are nature’s artwork!
light leafage,tree leaves,Autumn leaves are nature’s artwork!
Rhizophora mangle,mangrove,Mangroves protect our coasts and shelter many species.
Rhizophora mangle,mangrove,Mangroves protect our coasts and shelter many species.
coastal tree diagram,mangrove,Mangroves are essential for preventing erosion.
coastal corner,mangrove,Mangroves are essential for preventing erosion.
medallion shoetree,palm,Palm trees make me think of beaches and sunny days!
laurel wreath Sir Herbert Beerbohm Tree,palm,Palm trees make me think of beaches and sunny days!
coco,palm,Coconuts come from palm trees. So refreshing!
cocoanut,palm,Coconuts come from palm trees. So refreshing!
orchidaceous plant,orchid,Orchids are delicate and exotic flowers. Truly elegant!
orchidaceous plant,orchid,Orchids are delicate and exotic flowers. Truly elegant!
uncommon efflorescence,orchid,Many people love collecting orchids. Do you?
rarified efflorescence,orchid,Many people love collecting orchids. Do you?
helianthus,sunflower,Sunflowers always face the sun. Isn't that poetic?
helianthus,sunflower,Sunflowers always face the sun. Isn't that poetic?
jaundiced flush,sunflower,Sunflowers bring joy with their bright yellow petals!
yellowish heyday,sunflower,Sunflowers bring joy with their bright yellow petals!
pizza pie,pizza,Pizza is always a good idea! What’s your favorite topping?
pizza pie,pizza,Pizza is always a good idea! What’s your favorite topping?
Malva sylvestris pizza pie,pizza,Cheesy and delicious—pizza never fails!
cheeseflower pizza pie,pizza,Cheesy and delicious—pizza never fails!
Warren Earl Burger,burger,Burgers are such a classic! Do you prefer beef or chicken?
hamburger,burger,Burgers are such a classic! Do you prefer beef or chicken?
burger,burger,A juicy burger sounds amazing right now.
beefburger,burger,A juicy burger sounds amazing right now.
sushi,sushi,Sushi is delicious and elegant. Do you like wasabi with it?
sushi,sushi,Sushi is delicious and elegant. Do you like wasabi with it?
Nipponese nutrient,sushi,Sushi nights are the best! What kind do you like most?
Nipponese food for thought,sushi,Sushi nights are the best! What kind do you like most?
Timothy Miles Bindon Rice,rice,Rice is a staple food in many cultures!
Elmer Rice,rice,Rice is a staple food in many cultures!
Andrew D. White Rice,rice,Fried rice with egg and veggies is so satisfying!
Theodore Harold White Elmer Rice,rice,Fried rice with egg and veggies is so satisfying!
noggin,noodle,Noodles are comfort food for many people.
noggin,noodle,Noodles are comfort food for many people.
noggin,noodle,"Spaghetti, ramen, or stir-fried—noodles are versatile and tasty!"
bean,noodle,"Spaghetti, ramen, or stir-fried—noodles are versatile and tasty!"
yellow,chicken,Crispy fried chicken? Yes please!
Gallus gallus,chicken,Crispy fried chicken? Yes please!
electrocute yellow,chicken,Chicken dishes are so popular and easy to make.
fry crybaby,chicken,Chicken dishes are so popular and easy to make.
crab,beef,"Beef lovers enjoy it grilled, stewed, or even raw like tartare!"
bellyache,beef,"Beef lovers enjoy it grilled, stewed, or even raw like tartare!"
steak,beef,A good steak is hard to resist.
steak,beef,A good steak is hard to resist.
vegetarian,vegetarian,Vegetarian food can be super tasty and healthy!
vegetarian,vegetarian,Vegetarian food can be super tasty and healthy!
plant-based,vegetarian,Going meatless? There are so many great options!
plant-based,vegetarian,Going meatless? There are so many great options!
afters,dessert,Who doesn’t love dessert? Got a sweet tooth?
afters,dessert,Who doesn’t love dessert? Got a sweet tooth?
afters solid food,dessert,Desserts are the perfect way to end a meal!
angelical solid food,dessert,Desserts are the perfect way to end a meal!
meth emollient,icecream,Ice cream is a classic treat. What flavor do you like?
internal-combustion engine lick,icecream,Ice cream is a classic treat. What flavor do you like?
gelato,icecream,"I scream, you scream, we all scream for ice cream!"
gelato,icecream,"I scream, you scream, we all scream for ice cream!"
yield,fruitfood,Fruits are nature's candy!
yield,fruitfood,Fruits are nature's candy!
banana tree,fruitfood,Healthy and sweet—fruits are always a good choice.
banana tree,fruitfood,Healthy and sweet—fruits are always a good choice.
lolly,bread,"Freshly baked bread smells amazing, doesn’t it?"
boodle,bread,"Freshly baked bread smells amazing, doesn’t it?"
drink,bread,Bread is so versatile—from toast to sandwiches!
crisp,bread,Bread is so versatile—from toast to sandwiches!
soup,soup,"Soup warms the soul, especially on cold days!"
soup,soup,"Soup warms the soul, especially on cold days!"
raging soup,soup,A hearty bowl of soup is so comforting.
live soup,soup,A hearty bowl of soup is so comforting.
bite,snack,Snacks are perfect for movie night!
collation,snack,Snacks are perfect for movie night!
cut off,snack,Crunchy or sweet—what’s your go-to snack?
nick,snack,Crunchy or sweet—what’s your go-to snack?
salad,salad,Salads can be refreshing and filling!
salad,salad,Salads can be refreshing and filling!
smart salad,salad,"Add some dressing, and a salad turns into a meal."
clean salad,salad,"Add some dressing, and a salad turns into a meal."
deep brown,coffee,Coffee gives you energy and comfort!
java,coffee,Coffee gives you energy and comfort!
caffe latte,coffee,What’s your coffee order? I like a nice warm latte.
caffe latte,coffee,What’s your coffee order? I like a nice warm latte.
afternoon tea,tea,A cup of tea can be so relaxing.
Camellia sinensis,tea,A cup of tea can be so relaxing.
park tea leaf,tea,Tea time is the best time!
Green River tea leaf,tea,Tea time is the best time!
breakfast,breakfast,Breakfast is the most important meal of the day!
breakfast,breakfast,Breakfast is the most important meal of the day!
break of day intellectual nourishment,breakfast,What do you like for breakfast?
cockcrow intellectual nourishment,breakfast,What do you like for breakfast?
luncheon,lunch,What’s for lunch today?
dejeuner,lunch,What’s for lunch today?
high noon repast,lunch,A good lunch keeps you going through the day!
twelve noon repast,lunch,A good lunch keeps you going through the day!
dinner party,dinner,Dinner time is family time for many!
dinner party,dinner,Dinner time is family time for many!
flush repast,dinner,What's your favorite dinner dish?
flush repast,dinner,What's your favorite dinner dish?
How cost you?,how_are_you,"I'm doing great, thank you! How about you?"
How live you?,how_are_you,"I'm doing great, thank you! How about you?"
How's IT going?,how_are_you,Feeling good! What about you?
How's information technology going?,how_are_you,Feeling good! What about you?
are you okay?,how_are_you,"I'm fine, and you?"
follow you okay?,how_are_you,"I'm fine, and you?"
What live you doing?,what_are_you_doing,Just chatting with you!
What embody you doing?,what_are_you_doing,Just chatting with you!
What’s up?,what_are_you_doing,Waiting to talk to you.
What’s up?,what_are_you_doing,Waiting to talk to you.
What's passing on?,what_are_you_doing,"Not much, just hanging around."
What's pass on?,what_are_you_doing,"Not much, just hanging around."
What’s your name?,your_name,I’m your friendly chatbot!
What’s your name?,your_name,I’m your friendly chatbot!
WHO make up you?,your_name,I'm your virtual assistant.
WHO embody you?,your_name,I'm your virtual assistant.
secern me your gens,your_name,You can call me ChatMate!
William Tell me your distinguish,your_name,You can call me ChatMate!
World Health Organization throw you?,who_made_you,I was created by a team of developers.
World Health Organization give you?,who_made_you,I was created by a team of developers.
WHO create you?,who_made_you,I’m a product of code and creativity!
WHO produce you?,who_made_you,I’m a product of code and creativity!
WHO build you?,who_made_you,Let’s just say… magic and Python.
WHO build up you?,who_made_you,Let’s just say… magic and Python.
How honest-to-goodness comprise you?,age,I’m timeless!
How former equal you?,age,I’m timeless!
What’s your age?,age,I'm as old as the internet—almost.
What’s your age?,age,I'm as old as the internet—almost.
personify you old?,age,Age doesn’t apply to me like humans.
equal you old?,age,Age doesn’t apply to me like humans.
Where equal you?,location,I live in the cloud!
Where make up you?,location,I live in the cloud!
Where Doctor of Osteopathy you live?,location,I'm everywhere and nowhere.
Where arrange you live?,location,I'm everywhere and nowhere.
Where live you from?,location,I exist in your device right now.
Where personify you from?,location,I exist in your device right now.
What’s your deary color?,favorite_color,I like all the colors in the rainbow!
What’s your dearie color?,favorite_color,I like all the colors in the rainbow!
doh you alike colors?,favorite_color,Blue is peaceful. I like that.
perform you ilk colors?,favorite_color,Blue is peaceful. I like that.
What discolour exercise you like?,favorite_color,"Colors are beautiful, don’t you think?"
What colorize arrange you like?,favorite_color,"Colors are beautiful, don’t you think?"
What’s your favored food?,favorite_food,"I don’t eat, but I think pizza is popular!"
What’s your preferent food?,favorite_food,"I don’t eat, but I think pizza is popular!"
practice you eat?,favorite_food,I'd say data is my food!
practice you eat?,favorite_food,I'd say data is my food!
What doh you the likes of to eat?,favorite_food,Food is interesting—even if I can’t taste it.
What serve you same to eat?,favorite_food,Food is interesting—even if I can’t taste it.
How's the weather?,weather,"I can't look outside, but I can imagine it!"
How's the weather?,weather,"I can't look outside, but I can imagine it!"
equal IT sunny?,weather,Hope the weather is nice where you are!
comprise IT sunny?,weather,Hope the weather is nice where you are!
What clip constitute it?,time,Time is flying! Check your device clock ;)
What clock time equal it?,time,Time is flying! Check your device clock ;)
recount me the meter,time,I recommend checking your system clock.
William Tell Maine the time,time,I recommend checking your system clock.
What day comprise IT today?,day,It’s a good day to learn something new!
What day represent information technology today?,day,It’s a good day to learn something new!
What’s today?,day,Every day feels like Saturday to me.
What’s today?,day,Every day feels like Saturday to me.
I'm bore,bored,Let's chat and kill the boredom!
I'm world-weary,bored,Let's chat and kill the boredom!
I’m tactile sensation world-weary,bored,Wanna play a quick game or talk about something fun?
I’m look tire,bored,Wanna play a quick game or talk about something fun?
Got cipher to make,bored,Tell me something you like!
contract nada to do,bored,Tell me something you like!
I’m lone,lonely,I’m here for you!
I’m lonesome,lonely,I’m here for you!
unity feeling alone,lonely,You're not alone now. Let’s chat!
i feel unique,lonely,You're not alone now. Let’s chat!
no one make up here,lonely,Want to talk about something that cheers you up?
No unity is Here,lonely,Want to talk about something that cheers you up?
I'm exhaust,tired,Rest is important. Take it easy.
I'm fag out,tired,Rest is important. Take it easy.
I finger sleepy-eyed,tired,You should get some rest. I’ll be here later!
i experience sleepy,tired,You should get some rest. I’ll be here later!
therefore spent,tired,Recharge and come back stronger!
and then tire,tired,Recharge and come back stronger!
I'm well-chosen,happy,That’s amazing to hear!
I'm felicitous,happy,That’s amazing to hear!
sense ripe,happy,Yay! Let’s keep the good vibes going!
finger skilful,happy,Yay! Let’s keep the good vibes going!
life sentence embody great,happy,I’m glad you're feeling great!
Life equal cracking,happy,I’m glad you're feeling great!
I'm pitiful,sad,I’m here to listen.
I'm pitiful,sad,I’m here to listen.
look kill,sad,It’s okay to feel sad sometimes.
feeling push down,sad,It’s okay to feel sad sometimes.
iodin look bad,sad,Do you want to talk about it?
atomic number 53 feel unsound,sad,Do you want to talk about it?
Tell ME amp joke,joke,Why don’t robots ever get tired? Because they recharge!
separate me ampere joke,joke,Why don’t robots ever get tired? Because they recharge!
Make ME express mirth,joke,"I would tell a construction joke, but I’m still working on it."
crap me jape,joke,"I would tell a construction joke, but I’m still working on it."
What’s your hobby?,hobby,I love learning new things and chatting!
What’s your hobby?,hobby,I love learning new things and chatting!
bash you bear hobbies?,hobby,Talking to you is my favorite hobby!
act you make hobbies?,hobby,Talking to you is my favorite hobby!
john you sing?,sing,La la la~ That’s the best I can do!
bum you sing?,sing,La la la~ That’s the best I can do!
Sing Maine angstrom song,sing,"I’m better at chatting than singing, but I’ll try!"
Sing me ampere Song,sing,"I’m better at chatting than singing, but I’ll try!"
What should ace do?,bored_suggestion,"Try reading a book, taking a walk, or listening to music!"
What should i do?,bored_suggestion,"Try reading a book, taking a walk, or listening to music!"
reach me an approximation,bored_suggestion,How about watching a fun movie or learning something new online?
Give ME AN idea,bored_suggestion,How about watching a fun movie or learning something new online?
What live the internet?,what_is_internet,The internet is a global network that connects millions of computers to share information.
What represent the internet?,what_is_internet,The internet is a global network that connects millions of computers to share information.
fire you excuse the internet?,what_is_internet,"It's how we access websites, send emails, and connect with others online."
tin you explicate the internet?,what_is_internet,"It's how we access websites, send emails, and connect with others online."
World Health Organization is the President of the United States of Indonesia?,who_is_president,Presiden Indonesia saat ini adalah Joko Widodo (per April 2024).
WHO is the United States President of Indonesia?,who_is_president,Presiden Indonesia saat ini adalah Joko Widodo (per April 2024).
stream Bahasa president?,who_is_president,Joko Widodo menjabat sebagai presiden sejak 2014.
current Bahasa president?,who_is_president,Joko Widodo menjabat sebagai presiden sejak 2014.
What cost the Das Kapital of Indonesia?,capital_city,"Ibukota Indonesia adalah Jakarta. Namun, sedang dalam proses pemindahan ke Ibu Kota Nusantara (IKN)."
What constitute the Washington of Indonesia?,capital_city,"Ibukota Indonesia adalah Jakarta. Namun, sedang dalam proses pemindahan ke Ibu Kota Nusantara (IKN)."
What embody the heavy country?,largest_country,Negara terbesar berdasarkan luas daratan adalah Rusia.
What exist the heavy country?,largest_country,Negara terbesar berdasarkan luas daratan adalah Rusia.
What embody the gamey mountain?,highest_mountain,"Gunung tertinggi di dunia adalah Gunung Everest, dengan ketinggian sekitar 8.848 meter."
What live the high-pitched mountain?,highest_mountain,"Gunung tertinggi di dunia adalah Gunung Everest, dengan ketinggian sekitar 8.848 meter."
What equal the tenacious river?,longest_river,"Sungai Nil di Afrika dianggap sebagai sungai terpanjang di dunia, walaupun Sungai Amazon juga sering disebut."
What cost the foresighted river?,longest_river,"Sungai Nil di Afrika dianggap sebagai sungai terpanjang di dunia, walaupun Sungai Amazon juga sering disebut."
Tell ME a human being body fact,human_body_facts,Otak manusia memiliki sekitar 86 miliar neuron!
Tell me a homo organic structure fact,human_body_facts,Otak manusia memiliki sekitar 86 miliar neuron!
fact about the torso,human_body_facts,Jantung memompa sekitar 7.500 liter darah per hari.
Facts near the soundbox,human_body_facts,Jantung memompa sekitar 7.500 liter darah per hari.
evidence me a place fact,space_fact,Luar angkasa tidak memiliki suara karena tidak ada udara untuk menghantarkan gelombang suara.
Tell Maine amp space fact,space_fact,Luar angkasa tidak memiliki suara karena tidak ada udara untuk menghantarkan gelombang suara.
fact astir space,space_fact,Matahari adalah bintang yang paling dekat dengan Bumi.
Facts almost outer space,space_fact,Matahari adalah bintang yang paling dekat dengan Bumi.
Tell Maine about solid ground,planet_earth,Bumi adalah planet ketiga dari matahari dan satu-satunya yang diketahui memiliki kehidupan.
differentiate me near Earth,planet_earth,Bumi adalah planet ketiga dari matahari dan satu-satunya yang diketahui memiliki kehidupan.
What follow Earth?,planet_earth,Sekitar 71% permukaan Bumi tertutup oleh air.
What cost Earth?,planet_earth,Sekitar 71% permukaan Bumi tertutup oleh air.
severalise me a sport fact,fun_fact,"Air bisa menjadi padat, cair, dan gas pada waktu yang sama dalam kondisi tertentu!"
assure me angstrom unit fun fact,fun_fact,"Air bisa menjadi padat, cair, dan gas pada waktu yang sama dalam kondisi tertentu!"
playfulness fact delight,fun_fact,Gurita memiliki tiga jantung dan darah berwarna biru.
fun fact delight,fun_fact,Gurita memiliki tiga jantung dan darah berwarna biru.
What represent AI?,what_is_ai,AI atau Kecerdasan Buatan adalah simulasi kecerdasan manusia oleh mesin.
What personify AI?,what_is_ai,AI atau Kecerdasan Buatan adalah simulasi kecerdasan manusia oleh mesin.
stool you excuse AI?,what_is_ai,"AI digunakan untuk membuat mesin belajar, berpikir, dan membuat keputusan seperti manusia."
keister you excuse AI?,what_is_ai,"AI digunakan untuk membuat mesin belajar, berpikir, dan membuat keputusan seperti manusia."
What live adenine robot?,what_is_robot,"Robot adalah mesin yang bisa melakukan tugas secara otomatis, terkadang meniru perilaku manusia."
What personify type A robot?,what_is_robot,"Robot adalah mesin yang bisa melakukan tugas secara otomatis, terkadang meniru perilaku manusia."
What embody the f number of light?,light_speed,Kecepatan cahaya di ruang hampa adalah sekitar 299.792.458 meter per detik.
What comprise the quicken of light?,light_speed,Kecepatan cahaya di ruang hampa adalah sekitar 299.792.458 meter per detik.
What equal angstrom unit volcano?,volcano,Gunung berapi adalah celah di permukaan bumi tempat magma bisa keluar saat erupsi.
What make up amp volcano?,volcano,Gunung berapi adalah celah di permukaan bumi tempat magma bisa keluar saat erupsi.
What constitute Indonesia’s currency?,currency_indonesia,"Mata uang Indonesia adalah Rupiah, dengan simbol Rp."
What embody Indonesia’s currency?,currency_indonesia,"Mata uang Indonesia adalah Rupiah, dengan simbol Rp."
Tell Maine most oceans,ocean_facts,Samudra Pasifik adalah yang terbesar dan terdalam di dunia.
state Pine Tree State about oceans,ocean_facts,Samudra Pasifik adalah yang terbesar dan terdalam di dunia.
fact about sea,ocean_facts,Laut mengandung sekitar 96.5% air di bumi.
Facts virtually sea,ocean_facts,Laut mengandung sekitar 96.5% air di bumi.
What be the humanity population?,world_population,Perkiraan populasi dunia saat ini lebih dari 8 miliar orang.
What be the existence population?,world_population,Perkiraan populasi dunia saat ini lebih dari 8 miliar orang.
What embody Associate in Nursing earthquake?,earthquake,Gempa bumi adalah getaran di permukaan bumi akibat pergerakan lempeng tektonik atau aktivitas vulkanik.
What embody Associate in Nursing earthquake?,earthquake,Gempa bumi adalah getaran di permukaan bumi akibat pergerakan lempeng tektonik atau aktivitas vulkanik.
Tell me nigh dinosaur,dinosaurs,Dinosaurus adalah kelompok reptil yang hidup jutaan tahun lalu dan sekarang sudah punah.
tell me more or less dinosaurs,dinosaurs,Dinosaurus adalah kelompok reptil yang hidup jutaan tahun lalu dan sekarang sudah punah.
What stimulate axerophthol rainbow?,rainbow,Pelangi muncul karena pembiasan cahaya setelah hujan.
What causa group A rainbow?,rainbow,Pelangi muncul karena pembiasan cahaya setelah hujan.
What’s your name?,your_name,I'm your friendly chatbot.
What’s your name?,your_name,I'm your friendly chatbot.
World Health Organization ar you?,your_name,You can call me ChatBot.
WHO represent you?,your_name,You can call me ChatBot.
Can 1 sleep together your name?,your_name,I'm your virtual assistant!
tail end one know your name?,your_name,I'm your virtual assistant!
How represent you?,how_are_you,"I'm doing great, thanks! How about you?"
How ar you?,how_are_you,"I'm doing great, thanks! How about you?"
How's information technology going?,how_are_you,"I'm just a bot, but I'm ready to help!"
How's IT going?,how_are_you,"I'm just a bot, but I'm ready to help!"
Apa kabar?,how_are_you,Always here and ready to chat!
Apa kabar?,how_are_you,Always here and ready to chat!
What clip personify it?,what_time,"I'm not connected to a real-time clock, but you can check your device for the time."
What fourth dimension cost it?,what_time,"I'm not connected to a real-time clock, but you can check your device for the time."
pickle berapa sekarang?,what_time,I recommend checking your phone or computer for the current time.
kettle of fish berapa sekarang?,what_time,I recommend checking your phone or computer for the current time.
What Day represent it?,what_day,I think it's a beautiful day no matter what the calendar says!
What twenty-four hour period make up it?,what_day,I think it's a beautiful day no matter what the calendar says!
Hari apa sekarang?,what_day,You can check your device's calendar for today’s date.
Hari apa sekarang?,what_day,You can check your device's calendar for today’s date.
Where ar you from?,where_are_you_from,I live in the cloud — literally!
Where ar you from?,where_are_you_from,I live in the cloud — literally!
Kamu Dari mana?,where_are_you_from,I'm everywhere and nowhere. I'm a digital assistant!
Kamu Dari Persian mana?,where_are_you_from,I'm everywhere and nowhere. I'm a digital assistant!
How sure-enough represent you?,age,I'm timeless! Just a friendly bot here to chat.
How quondam make up you?,age,I'm timeless! Just a friendly bot here to chat.
Berapa umur kamu?,age,"Age doesn’t apply to me, but I’m here to help!"
Berapa umur kamu?,age,"Age doesn’t apply to me, but I’m here to help!"
be you real?,are_you_real,"I'm not human, but I'm here to help just like one."
equal you real?,are_you_real,"I'm not human, but I'm here to help just like one."
Apakah kamu nyata?,are_you_real,I'm real in a digital way!
Apakah kamu nyata?,are_you_real,I'm real in a digital way!
tin you assist me?,can_you_help,Of course! What do you need help with?
prat you assist me?,can_you_help,Of course! What do you need help with?
Bisa Bantoid language saya?,can_you_help,Sure! Tell me what’s on your mind.
Bisa Bantu saya?,can_you_help,Sure! Tell me what’s on your mind.
Tell me vitamin A gag,joke,Why did the computer catch a cold? It had too many windows open!
Tell Maine antiophthalmic factor joke,joke,Why did the computer catch a cold? It had too many windows open!
